player,team,macth_up,game_date,w_l,min,pts,fgm,fga,fg_p,pm_3,pa_3,p_3,ftm,fta,ft+p,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_min
A'JA WILSON,LVA,LVA vs. PHO,8/20/22,W,27,17,7,9,77.8,1,2,50,2,3,66.7,0,4,4,6,0,1,3,2,38
KELSEY PLUM,LVA,LVA vs. PHO,8/20/22,W,24,22,6,10,60,4,6,66.7,6,6,100,1,3,4,3,0,0,1,2,35
KAELA DAVIS,PHO,PHO @ LVA,8/20/22,L,30,23,11,19,57.9,0,3,0,1,1,100,0,6,6,3,1,1,2,4,-25
COURTNEY VANDERSLOOT,CHI,CHI vs. NYL,8/20/22,W,24,16,7,10,70,1,3,33.3,1,1,100,1,8,9,4,3,0,1,1,33
MEGAN GUSTAFSON,PHO,PHO @ LVA,8/20/22,L,26,6,2,12,16.7,0,3,0,2,2,100,3,2,5,3,1,0,0,1,-20
KIAH STOKES,LVA,LVA vs. PHO,8/20/22,W,22,6,3,4,75,0,0,0,0,0,0,0,3,3,0,2,0,2,3,37
THERESA PLAISANCE,LVA,LVA vs. PHO,8/20/22,W,12,5,2,3,66.7,1,1,100,0,0,0,0,3,3,2,1,0,1,1,1
YVONNE TURNER,PHO,PHO @ LVA,8/20/22,L,11,4,2,5,40,0,0,0,0,0,0,2,3,5,1,0,0,0,1,-17
SOPHIE CUNNINGHAM,PHO,PHO @ LVA,8/20/22,L,26,3,1,4,25,1,4,25,0,0,0,0,1,1,2,0,0,2,2,-39
SAM THOMAS,PHO,PHO @ LVA,8/20/22,L,13,3,1,2,50,1,2,50,0,0,0,0,0,0,0,1,0,0,0,-1
RESHANDA GRAY,PHO,PHO @ LVA,8/20/22,L,13,5,2,3,66.7,0,0,0,1,2,50,0,1,1,0,0,0,1,1,-1
SYDNEY COLSON,LVA,LVA vs. PHO,8/20/22,W,12,0,0,2,0,0,1,0,0,0,0,1,1,2,4,0,0,0,2,3
ILIANA RUPERT,LVA,LVA vs. PHO,8/20/22,W,10,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,-5
AISHA SHEPPARD,LVA,LVA vs. PHO,8/20/22,W,9,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3
CHELSEA GRAY,LVA,LVA vs. PHO,8/20/22,W,25,27,9,11,81.8,7,8,87.5,2,2,100,0,3,3,8,1,2,1,2,39
CANDACE PARKER,CHI,CHI vs. NYL,8/20/22,W,23,12,5,10,50,0,2,0,2,2,100,2,10,12,4,0,2,1,2,33
KAHLEAH COPPER,CHI,CHI vs. NYL,8/20/22,W,22,20,8,16,50,2,3,66.7,2,2,100,1,2,3,1,3,0,0,2,31
AZURÁ STEVENS,CHI,CHI vs. NYL,8/20/22,W,23,14,7,13,53.8,0,3,0,0,0,0,1,3,4,0,2,1,2,5,7
ALLIE QUIGLEY,CHI,CHI vs. NYL,8/20/22,W,26,8,2,3,66.7,2,3,66.7,2,2,100,0,1,1,8,2,0,1,2,36
EMMA MEESSEMAN,CHI,CHI vs. NYL,8/20/22,W,24,8,3,8,37.5,0,1,0,2,2,100,3,3,6,4,1,0,3,0,37
REBEKAH GARDNER,CHI,CHI vs. NYL,8/20/22,W,20,11,4,9,44.4,0,2,0,3,3,100,2,2,4,1,1,0,1,3,7
HAN XU,NYL,NYL @ CHI,8/20/22,L,18,10,3,7,42.9,1,1,100,3,4,75,1,4,5,0,0,1,2,0,-5
SABRINA IONESCU,NYL,NYL @ CHI,8/20/22,L,23,7,3,5,60,1,2,50,0,0,0,1,4,5,3,0,0,3,2,-25
DIDI RICHARDS,NYL,NYL @ CHI,8/20/22,L,15,8,2,5,40,0,2,0,4,4,100,0,2,2,0,2,0,4,2,-2
REBECCA ALLEN,NYL,NYL @ CHI,8/20/22,L,16,5,1,4,25,1,2,50,2,2,100,0,4,4,1,1,0,1,1,-16
CRYSTAL DANGERFIELD,NYL,NYL @ CHI,8/20/22,L,14,4,2,7,28.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-11
MARINE JOHANNES,NYL,NYL @ CHI,8/20/22,L,12,0,0,2,0,0,2,0,0,0,0,0,1,1,2,1,0,3,1,-13
SAMI WHITCOMB,NYL,NYL @ CHI,8/20/22,L,19,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,-19
JOCELYN WILLOUGHBY,NYL,NYL @ CHI,8/20/22,L,13,6,2,2,100,0,0,0,2,3,66.7,0,1,1,0,0,0,1,1,-5
JULIE ALLEMAND,CHI,CHI vs. NYL,8/20/22,W,19,4,2,4,50,0,2,0,0,0,0,0,0,0,4,0,0,0,1,8
DANA EVANS,CHI,CHI vs. NYL,8/20/22,W,10,5,1,3,33.3,1,3,33.3,2,2,100,0,1,1,2,0,0,1,1,-1
BETNIJAH LANEY,NYL,NYL @ CHI,8/20/22,L,16,2,1,7,14.3,0,2,0,0,0,0,1,1,2,3,1,0,3,1,-23
STEFANIE DOLSON,NYL,NYL @ CHI,8/20/22,L,20,2,1,3,33.3,0,1,0,0,0,0,0,3,3,3,0,1,0,1,-35
RUTHY HEBARD,CHI,CHI vs. NYL,8/20/22,W,10,2,1,2,50,0,0,0,0,0,0,0,5,5,0,2,0,0,1,-1
NATASHA HOWARD,NYL,NYL @ CHI,8/20/22,L,17,8,3,9,33.3,0,4,0,2,2,100,0,2,2,0,1,0,2,3,-32
MICHAELA ONYENWERE,NYL,NYL @ CHI,8/20/22,L,17,10,2,8,25,0,2,0,6,6,100,0,2,2,0,0,0,0,0,-4
ALLISHA GRAY,DAL,DAL @ CON,8/18/22,L,35,17,7,11,63.6,1,4,25,2,6,33.3,1,4,5,2,2,0,1,2,-20
TYASHA HARRIS,DAL,DAL @ CON,8/18/22,L,27,13,5,11,45.5,1,4,25,2,2,100,2,3,5,3,1,1,3,0,-16
DIJONAI CARRINGTON,CON,CON vs. DAL,8/18/22,W,18,13,6,10,60,0,1,0,1,1,100,0,6,6,0,2,0,0,2,10
DEWANNA BONNER,CON,CON vs. DAL,8/18/22,W,22,12,4,10,40,2,4,50,2,2,100,1,1,2,1,2,1,1,0,15
COURTNEY WILLIAMS,CON,CON vs. DAL,8/18/22,W,24,10,5,12,41.7,0,2,0,0,0,0,1,1,2,6,1,0,1,0,12
MARINA MABREY,DAL,DAL @ CON,8/18/22,L,30,11,5,13,38.5,1,3,33.3,0,0,0,2,2,4,1,1,0,3,5,-21
NATISHA HIEDEMAN,CON,CON vs. DAL,8/18/22,W,29,8,3,6,50,1,2,50,1,2,50,0,4,4,2,2,0,1,1,20
SATOU SABALLY,DAL,DAL @ CON,8/18/22,L,15,10,3,8,37.5,2,5,40,2,3,66.7,0,2,2,2,0,0,1,2,-12
TEAIRA MCCOWAN,DAL,DAL @ CON,8/18/22,L,28,7,2,6,33.3,0,0,0,3,6,50,1,4,5,0,0,2,3,2,-12
BRIONNA JONES,CON,CON vs. DAL,8/18/22,W,21,8,3,5,60,0,0,0,2,2,100,1,2,3,2,1,0,0,4,14
VERONICA BURTON,DAL,DAL @ CON,8/18/22,L,23,2,1,4,25,0,2,0,0,0,0,1,1,2,3,1,0,2,0,-12
ODYSSEY SIMS,CON,CON vs. DAL,8/18/22,W,21,6,3,6,50,0,1,0,0,0,0,0,0,0,1,0,0,2,3,13
ISABELLE HARRISON,DAL,DAL @ CON,8/18/22,L,12,7,3,5,60,0,0,0,1,1,100,0,0,0,0,0,0,1,1,-13
AWAK KUIER,DAL,DAL @ CON,8/18/22,L,8,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,-7
NIA CLOUDEN,CON,CON vs. DAL,8/18/22,W,7,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
